Date,Headline,Negative,Neutral,Positive
2024-05-28,No article,0.0,1.0,0.0
2024-05-29,No article,0.0,1.0,0.0
2024-05-30,No article,0.0,1.0,0.0
2024-05-31,No article,0.0,1.0,0.0
2024-06-01,No article,0.0,1.0,0.0
2024-06-02,No article,0.0,1.0,0.0
2024-06-03,No article,0.0,1.0,0.0
2024-06-04,No article,0.0,1.0,0.0
2024-06-05,No article,0.0,1.0,0.0
2024-06-06,No article,0.0,1.0,0.0
2024-06-07,No article,0.0,1.0,0.0
2024-06-08,No article,0.0,1.0,0.0
2024-06-09,No article,0.0,1.0,0.0
2024-06-10,No article,0.0,1.0,0.0
2024-06-11,No article,0.0,1.0,0.0
2024-06-12,No article,0.0,1.0,0.0
2024-06-13,No article,0.0,1.0,0.0
2024-06-14,No article,0.0,1.0,0.0
2024-06-15,No article,0.0,1.0,0.0
2024-06-16,No article,0.0,1.0,0.0
2024-06-17,No article,0.0,1.0,0.0
2024-06-18,No article,0.0,1.0,0.0
2024-06-19,No article,0.0,1.0,0.0
2024-06-20,No article,0.0,1.0,0.0
2024-06-21,No article,0.0,1.0,0.0
2024-06-22,No article,0.0,1.0,0.0
2024-06-23,No article,0.0,1.0,0.0
2024-06-24,No article,0.0,1.0,0.0
2024-06-25,No article,0.0,1.0,0.0
2024-06-26,No article,0.0,1.0,0.0
2024-06-27,No article,0.0,1.0,0.0
2024-06-28,No article,0.0,1.0,0.0
2024-06-29,No article,0.0,1.0,0.0
2024-06-30,No article,0.0,1.0,0.0
2024-07-01,No article,0.0,1.0,0.0
2024-07-02,No article,0.0,1.0,0.0
2024-07-03,No article,0.0,1.0,0.0
2024-07-04,No article,0.0,1.0,0.0
2024-07-05,No article,0.0,1.0,0.0
2024-07-06,No article,0.0,1.0,0.0
2024-07-07,No article,0.0,1.0,0.0
2024-07-08,No article,0.0,1.0,0.0
2024-07-09,No article,0.0,1.0,0.0
2024-07-10,No article,0.0,1.0,0.0
2024-07-11,No article,0.0,1.0,0.0
2024-07-12,No article,0.0,1.0,0.0
2024-07-13,No article,0.0,1.0,0.0
2024-07-14,No article,0.0,1.0,0.0
2024-07-15,No article,0.0,1.0,0.0
2024-07-16,No article,0.0,1.0,0.0
2024-07-17,No article,0.0,1.0,0.0
2024-07-18,No article,0.0,1.0,0.0
2024-07-19,No article,0.0,1.0,0.0
2024-07-20,No article,0.0,1.0,0.0
2024-07-21,No article,0.0,1.0,0.0
2024-07-22,No article,0.0,1.0,0.0
2024-07-23,No article,0.0,1.0,0.0
2024-07-24,No article,0.0,1.0,0.0
