Date,Close,High,Low,Open,Volume,Target,Negative,Neutral,Positive
2024-06-03,29.31,29.53,28.64,28.66,38177233.0,1,0.0596540703785714,0.626341311770136,0.3140046138773684
2024-06-04,29.49,29.73,29.17,29.3,46309529.0,1,0.0664412231905918,0.8531752374092321,0.0803835298904762
2024-06-05,29.55,29.62,29.17,29.56,27346747.0,0,0.0795057815894243,0.7236506577550383,0.19684356173127
2024-06-06,28.8,29.54,28.79,29.36,35360443.0,0,0.0005385669026136,0.7492670713359909,0.2501943465138538
2024-06-07,28.58,29.05,28.55,28.75,27526200.0,0,0.0029631176474271,0.6596275881770588,0.3374093014023913
2024-06-10,28.07,28.35,27.63,28.35,37003192.0,0,0.0002098173484904,0.9231894373541508,0.0766007335159534
2024-06-11,28.03,28.33,27.89,27.95,29573536.0,0,0.0095572888140246,0.8618268933931985,0.1286158154102196
2024-06-12,27.66,28.2299,27.56,28.17,32507942.0,0,0.0845606548095461,0.7957379615141286,0.119701384207777
2024-06-13,27.65,27.72,27.2,27.5,33945218.0,0,0.0671593839103935,0.6730439478661638,0.259796674371906
2024-06-14,27.53,28.22,27.43,27.745,29461921.0,0,0.050043153737679,0.672910854375921,0.2770459916342978
2024-06-17,26.98,27.4758,26.87,27.45,32214412.0,1,0.0001107623136245,0.8070492706072256,0.1928399647498405
2024-06-18,27.41,27.46,26.95,26.98,29817777.0,1,0.0530176309413821,0.7368738903714074,0.2101084788249181
2024-06-20,27.74,27.96,27.15,27.2,29693363.0,0,0.0399454046080808,0.8221639106515795,0.1378906741390892
2024-06-21,27.74,27.89,27.56,27.77,52561555.0,1,0.0022463705370625,0.6429263518117277,0.3548272814266056
2024-06-24,28.36,28.405,27.73,27.95,35414112.0,0,0.0013371152842441,0.763740286530735,0.2349226067992081
2024-06-25,27.99,28.45,27.93,28.4,26300713.0,0,0.0060607506986969,0.7218919785990718,0.2720472686075178
2024-06-26,27.42,27.93,27.07,27.91,30745779.0,1,0.2086059073534989,0.4935853226929323,0.2978087714929821
2024-06-27,27.8,27.83,27.07,27.37,28399596.0,1,0.1484472239673325,0.6138687908405039,0.2376839791731634
2024-06-28,27.98,28.12,27.64,27.78,33189215.0,1,0.0075457928423977,0.8593075056689687,0.1331467055517251
2024-07-01,28.22,28.63,27.94,27.95,26208992.0,0,0.0002860915400347,0.7369279473379435,0.2627859522878225
2024-07-02,27.83,28.28,27.69,28.22,21989831.0,0,0.0011755897599178,0.8859683215462912,0.1128560911568001
2024-07-03,27.7,28.05,27.615,27.92,15180087.0,1,0.0047020065890786,0.4142369078782591,0.5810611017929789
2024-07-05,28.05,28.09,27.67,27.76,17268657.0,0,1.9571603493410125e-05,0.8710997359258137,0.1288806807129958
2024-07-08,27.93,28.12,27.79,28.05,25694361.0,0,0.0770499396079216,0.6681947699779358,0.2547552851344334
2024-07-09,27.72,27.94,27.295,27.88,36876747.0,1,0.0045937212684199,0.7548400117189111,0.2405662738063884
2024-07-10,28.35,28.41,27.8,27.83,29873573.0,1,0.065770385148401,0.821527277949434,0.112702316734294
2024-07-11,28.66,29.23,28.42,28.78,47322551.0,1,0.1505980240781225,0.5357842015608604,0.3136177694632526
2024-07-12,28.92,29.14,28.79,28.9,28396983.0,1,0.0009945674653635,0.7084657967323438,0.2905396338592254
2024-07-15,29.1,29.27,28.83,29.03,30534363.0,1,0.0039892388050251,0.6608908633239328,0.3351198773631267
2024-07-16,29.5,29.56,29.12,29.2,26912145.0,1,0.1222977227473407,0.5955972162500983,0.2821050464163476
2024-07-17,30.03,30.3,29.31,29.42,45394967.0,0,0.1269697503760962,0.69867522879743,0.174355022214099
2024-07-18,29.71,30.69,29.6303,29.91,47279678.0,1,0.1511669257144684,0.702429747181466,0.1464033182737172
2024-07-19,29.97,30.0,29.5501,29.94,30021169.0,0,0.010030765459362,0.4870997404019969,0.5028695207559698
2024-07-22,29.6,30.23,29.38,30.11,46483174.0,0,0.0152125556103669,0.6370000879929174,0.3477873592964897
2024-07-23,29.5,29.64,29.33,29.62,25528288.0,1,0.1502759358280465,0.7936257821604916,0.056098281073135
2024-07-24,29.98,29.99,29.31,29.51,29579444.0,1,0.0234841436496006,0.5873366874687196,0.3891791783230325
2024-07-25,30.18,30.93,29.97,29.97,42296212.0,1,0.138007746155812,0.8069114732861635,0.0550807761126437
2024-07-26,30.77,30.88,30.01,30.15,35657080.0,0,0.0285054007683313,0.8213032705178194,0.1501913379913645
2024-07-29,30.72,30.93,30.44,30.69,41713675.0,1,0.1416708958070055,0.7216570904980069,0.1366719988837858
2024-07-30,31.39,31.54,29.78,31.01,89857470.0,0,0.2440737795544378,0.3578268692316702,0.3980993435636201
2024-07-31,30.54,31.26,30.47,31.2,40978684.0,1,0.0752307076492293,0.5741652577306504,0.3506040390112517
2024-08-01,30.65,30.81,29.91,30.72,39753104.0,0,0.159350367288322,0.6725294607077192,0.1681201725800319
2024-08-02,30.43,31.32,30.01,30.88,42364712.0,0,0.1460525515542549,0.7478586705200165,0.106088769930259
2024-08-05,29.74,30.01,28.853,29.09,37837997.0,0,0.3453991983512961,0.5355850231293993,0.1190157712071811
