Date,Close,High,Low,Open,Volume,Target,Negative,Neutral,Positive
2024-06-03,128.42,128.95,125.77,125.77,7702676.0,1,0.0005032749811991,0.6126803241780219,0.3868163993116392
2024-06-04,128.71,129.3599,126.88,127.15,6440167.0,1,0.1817254096122056,0.7095922531249623,0.108682354353012
2024-06-05,129.45,129.94,128.07,128.48,5009502.0,1,1.1319871208570476e-05,0.9985210567712784,0.0014676236620288
2024-06-06,130.52,130.93,128.9,129.16,8088641.0,1,8.890541588613132e-06,0.749666231756629,0.2503248714620895
2024-06-07,130.67,131.37,130.21,130.35,4945599.0,1,0.0015519412413548,0.546469312649587,0.4519787436596136
2024-06-10,131.49,131.68,129.65,130.63,6033808.0,1,9.295081970887278e-05,0.9983776539564132,0.0015293866676074
2024-06-11,131.84,132.17,129.74,131.0,11453195.0,0,0.011721204174936,0.7836114260406348,0.2046673566081507
2024-06-12,130.2,132.71,130.1631,132.7,5821965.0,0,0.0999763369793868,0.5494541164813939,0.3505695280851796
2024-06-13,129.37,130.12,128.5901,130.02,5004226.0,1,0.2476029408347528,0.7474419083446264,0.0049551308661648
2024-06-14,129.48,129.87,128.65,129.16,7338462.0,0,2.91729265882168e-05,0.999679833650589,0.0002909952891059
2024-06-17,127.5,128.94,127.37,128.21,8525878.0,1,0.0008172507403827,0.8225463814523843,0.1766363812049816
2024-06-18,127.99,128.73,127.0901,128.27,6532400.0,1,0.0029443983948356,0.7619443272550575,0.2351112821909909
2024-06-20,129.67,130.4263,126.75,127.39,10348371.0,1,3.117354266848338e-05,0.9980222016572952,0.001946620447461
2024-06-21,130.72,131.2,129.09,130.17,17182704.0,1,6.614845916600844e-05,0.9977168202400206,0.0022170074878886
2024-06-24,132.96,133.31,130.925,131.27,8554044.0,0,0.053012131914329,0.6026651849651898,0.3443226721671332
2024-06-25,132.92,134.63,132.6039,133.12,6758429.0,0,0.0500039245633563,0.6530963420858218,0.2968997119509013
2024-06-26,131.5,133.43,131.49,133.38,8492119.0,0,0.0392018778984146,0.6647205592345099,0.2960775531535732
2024-06-27,129.82,132.29,126.78,131.99,11927599.0,0,0.0563165825779103,0.6885297690290979,0.2551536469791244
2024-06-28,123.8,130.97,120.87,129.54,57055458.0,1,0.044168630801481,0.7480586167598218,0.2077727504360857
2024-07-01,127.9,129.19,125.1,125.38,11532966.0,0,1.4195527741095838e-05,0.995072603225708,0.0049131992437066
2024-07-02,127.72,128.24,126.66,128.21,5645359.0,0,5.082200245480792e-05,0.6896524965322464,0.3102966761051079
2024-07-03,125.85,127.94,125.3,127.69,4002054.0,1,0.0002004184613042,0.2499040357942768,0.7498955609480618
2024-07-05,126.45,126.6,124.91,126.53,6786713.0,0,7.866968917369233e-05,0.7802756130695343,0.2196457181125879
2024-07-08,125.78,127.455,125.33,126.8,5743436.0,1,1.1216841812711207e-05,0.5000033832616282,0.49998539686203
2024-07-09,126.04,126.095,123.7,125.24,6339265.0,1,8.30511686282356e-05,0.8024702585982075,0.1974466864163072
2024-07-10,127.3,127.48,125.83,125.88,4588745.0,1,0.0762038991042848,0.8389986625777888,0.0847974377183314
2024-07-11,128.97,129.12,127.59,127.61,7052117.0,0,0.0,1.0,0.0
2024-07-12,127.76,129.93,127.32,129.4,7022250.0,1,0.1261341304702265,0.6994654425466376,0.1744004369667168
2024-07-15,128.12,128.34,127.2,128.0,6918594.0,0,0.000719182811333,0.8408921882510185,0.1583886196555491
2024-07-16,125.44,129.03,125.2,127.87,8194439.0,1,0.0461563374936918,0.7510434091712037,0.2028002374034864
2024-07-17,125.89,126.69,124.56,125.47,7627972.0,0,0.0010752702344234,0.98267163336277,0.0162531051757923
